folder,file,title,year,sport,novelty,practicality,reproducibility,composite,data,code,one_line
curated,"1971 Operations Research on Football - Carter, Virgil and Machol, Robert E..pdf",Operations Research on Football,1971,NFL,10,7,6,23,public,no,Seminal expected point values by field position from hand-charted NFL plays; foundation of all modern EPA work.
curated,2003 Colley Matrix Method.pdf,Colley's Bias Free College Football Ranking Method: The Colley Matrix Explained,2003,CFB,7,6,9,22,public,no,"Fully-derived linear-algebra win-loss ranking system, bias-free strength-of-schedule adjustment, used in the BCS."
curated,2005 Overconfidence vs Market Efficiency in the NFL.pdf,Overconfidence vs. Market Efficiency in the National Football League,2005,NFL,9,9,7,25,mixed,no,Massey-Thaler show top draft picks are systematically overvalued; basis of modern pick surplus-value charts.
curated,2007 A starting point for analyzing basketball statistics.pdf,A Starting Point for Analyzing Basketball Statistics,2007,NBA,6,8,9,23,public,no,"Canonical codification of possession framework, Four Factors, ratings and pace adjustment by Kubatko/Oliver/Pelton/Rosenbaum."
curated,2010 A_Regression_Based_Adjusted_Plus_Minus_Statistic for NHL - McDonald.pdf,A Regression-based Adjusted Plus-Minus Statistic for NHL Players,2010,NHL,7,7,8,22,public,no,"First adjusted plus-minus for hockey using NHL.com shift reports and weighted least squares, with offensive/defensive splits."
curated,2010 NBA Adjusted Plus Minus using Regularization.pdf,Improved NBA Adjusted +/- Using Regularization and Out-of-Sample Testing,2010,NBA,8,8,7,23,public,no,"Sill introduces ridge regression (RAPM) and out-of-sample validation to APM, the basis of modern impact metrics."
curated,2011 Adjusted Plus Minus Omidiran UC Berkeley.pdf,A New Look at Adjusted Plus/Minus for Basketball Analysis,2011,NBA,5,6,6,17,public,no,Recasts APM as penalized regression with cross-validated lambda and a fast solver; incremental over Sill's RAPM.
curated,2011 An_Improved_Adjusted_Plus_Minus_Statististic - McDonald.pdf,An Improved Adjusted Plus-Minus Statistic for NHL Players,2011,NHL,6,7,7,20,public,no,Extends NHL APM to power-play/shorthanded situations and zone-start adjustment using NHL.com shift reports.
curated,2011 Evaluating-Basketball-Player-Performance-via-Statistical-Network-Modeling.pdf,Evaluating Basketball Player Performance via Statistical Network Modeling,2011,NBA,7,5,6,18,public,no,Random-walk network centrality plus bootstrap significance on five-man-unit graphs to rate player importance.
curated,2011 Forecasting-Performance-of-International-Players-in-the-NBA.pdf,Forecasting Performance of International Players in the NBA,2011,NBA,5,6,5,16,mixed,no,Regressions linking international league statistics to NBA draft position and success for 140 foreign-born players.
curated,2011 Moral Hazard in Long Term Guaranteed Contracts - NBA.pdf,Moral Hazard in Long-Term Guaranteed Contracts: Theory and Evidence from the NBA,2011,NBA,5,5,7,17,public,no,"Fixed-effects evidence of a ~10% contract-year performance bump, with a principal-agent model explaining it."
curated,2011 Optimizing NBA Free Agency Choices.pdf,Optimizing an NBA Team's Approach to Free Agency using a Multiple-Choice Knapsack Model,2011,NBA,6,4,5,15,none,no,Frames free-agency timing/bidding as a dynamic multiple-choice knapsack problem under the salary cap.
curated,2011 Player Eval Techniques - NBA.pdf,A New Player Evaluation Technique for Players of the NBA,2011,NBA,7,7,6,20,public,no,Engelmann's finite-state-machine credit model outperforming RAPM in out-of-sample prediction; precursor to ESPN RPM.
